,name,alias_1,alias_2,muscle_group,secondary_muscle_group,tertiary_muscle_group,equipment,description,instructions
92,V-Up,V-Sit Ups,,Abs,,,Bodyweight,Target the abs by simultaneously lifting your legs and torso to form a V shape while lying down.,"1. Lie on your back with arms overhead and legs straight, 2. Lift legs and torso, reaching hands to toes, 3. Lower back and repeat."
93,Mountain Climber,,,Abs,Obliques,,Bodyweight,Perform a dynamic core exercise by alternating bringing knees to the chest in a push-up position.,"1. Start in push-up position, 2. Engage your core and bring one knee toward chest, 3. Switch legs quickly in a running motion, 4. Continue alternating."
94,6-Inch Hold,Lying Leg Raise Hold,Leg Raise Hold,Abs,,,Bodyweight,Strengthen the lower abs by holding your legs six inches above the ground while lying on your back.,"1. Lie on your back with legs straight, 2.  Engage your core and lift legs about 6 inches off the floor, 3. Hold position for the desired time."
95,Hanging Leg Raise,Hanging Leg Lifts,,Abs,,,Bodyweight,Activate the lower abs by hanging from a bar and lifting your legs up to a 90-degree angle.,"1. Hang from a pull-up bar, 2. Keep legs straight and  engage your core, 3. Raise legs to 90 degrees, 4. Lower back and repeat."
96,Scissor Kick,Flutter Scissors,,Abs,,,Bodyweight,Work the core and hip flexors by alternating leg kicks while lying on your back.,"1. Lie on your back with legs straight, 2. Lift legs slightly off the floor, 3. Alternate crossing legs in a scissor-like motion, 4. Repeat."
97,Dead Bug,,,Abs,,,Bodyweight,"Lie on your back and alternate extending opposite arm and leg, engaging the core for stability.","1. Lie on your back with arms extended, knees bent, 2. Lower opposite arm and leg, 3. Return to start and alternate sides."
98,Toe Touch,Lying Toe Touches,,Abs,,,Bodyweight,Lie on your back and reach for your toes with your hands while lifting your legs straight up.,"1. Lie on your back with legs extended, 2. Lift legs and reach hands toward toes, 3. Lower back and repeat."
99,Bodyweight Calf Raise,Bodyweight Calf Raises,BW Heel Raises,Calves,,,Bodyweight,Calf raises using body weight to activate and strengthen the calves without extra resistance.,"1. Stand with your feet shoulder-width apart, 2. Raise your heels off the ground, standing on the balls of your feet, 3. Lower your heels back down slowly, 4. Repeat."
100,Bodyweight Calf Raise (Single Leg),Single Leg Bodyweight Calf Raise,One-Leg BW Calf Raises,Calves,,,Bodyweight,"Single-leg calf raises using body weight, isolating each calf muscle effectively.","1. Stand on one leg, 2. Raise your heel off the ground, standing on the ball of that foot, 3. Lower your heel back down slowly."
101,Push Up,Push-Ups,Push Up,Chest,Triceps,Shoulders,Bodyweight,"Bodyweight chest exercise that also works the shoulders and triceps, engaging the core for stability.","1. Get into a plank position with your hands placed slightly wider than shoulder-width apart, 2. Lower your body to the ground by bending your elbows, 3. Push your body back up to the starting position, 4. Repeat."
102,Push Up (Incline),Elevated Push Ups,Bench Push Ups,Chest,Shoulders,Triceps,Bodyweight,"Inclined push-ups focusing on the upper chest and shoulders, increasing range of motion.","1. Place your hands on an elevated surface (like a bench or step), 2. Lower your body toward the surface by bending your elbows, 3. Push your body back up to the starting position, 4. Repeat."
103,Push Up (Decline),Elevated Feet Push Ups,Decline Push Ups,Chest,Triceps,Shoulders,Bodyweight,Declined push-ups emphasizing the lower chest and increasing triceps involvement.,"1. Place your feet on an elevated surface (like a bench or step), 2. Lower your body to the ground by bending your elbows, 3. Push your body back up to the starting position, 4. Repeat."
104,Bodyweight Glute Bridge,Bodyweight Glute Bridge,Floor Hip Thrust,Glutes,Hamstrings,,Bodyweight,"Lying on your back, lifting the hips off the floor to engage the glutes and hamstrings.","1. Lie on your back with your knees bent and feet flat on the ground, 2. Drive through your heels to lift your hips off the ground, 3. Squeeze your glutes at the top, 4. Lower your hips back down, 5. Repeat."
105,Nordic Hamstring Curl,Nordics,Nordic Curls,Hamstrings,Glutes,Abs,Bodyweight,Eccentric hamstring exercise performed by lowering the body forward and resisting with the hamstrings.,"1. Kneel on the ground with your feet anchored, 2. Slowly lower your body forward, keeping your hips extended, 3. Use your hamstrings to pull yourself back up, 4. Repeat."
106,Bodyweight Squat,Bodyweight Squats,Air Squats,Legs,Quadriceps,Glutes,Bodyweight,"Squatting using just body weight, focusing on form, quads, glutes, and core activation.","1. Stand with your feet shoulder-width apart, 2. Lower your body by bending your knees, 3. Keep your chest up and back straight, 4. Drive through your heels to return to standing, 5. Repeat."
107,Bodyweight Squat Jump,Bodyweight Jump Squats,Plyo Squats,Legs,Quadriceps,Glutes,Bodyweight,Bodyweight squat jumps to increase leg power and engage the glutes and quads.,"1. Stand with your feet shoulder-width apart, 2. Lower into a squat position, 3. Explosively jump upwards, 4. Land softly and immediately lower back into a squat, 5. Repeat."
108,Bodyweight Lunge,Bodyweight Lunges,Air Lunges,Legs,Quadriceps,Glutes,Bodyweight,"Forward lunges using bodyweight to target the quads, hamstrings, and glutes with controlled movement.","1. Stand tall with your feet hip-width apart, 2. Step forward with one leg and lower your body until both knees are bent at 90 degrees, 3. Push back to the starting position, 4. Repeat with the other leg."
109,Bodyweight Glute Bridge (Single Leg),Single-Leg Glute Bridge,Unilateral Glute Bridge,Legs,Glutes,Hamstrings,Bodyweight,A single-leg variation of the glute bridge to target each glute and hamstring individually while enhancing stability.,"1. Lie on your back with one knee bent and foot flat on the ground, 2. Lift your other leg off the ground, 3. Drive through your heel to lift your hips, 4. Lower your hips back down, 5. Repeat with the other leg."
110,Wall Sit,Static Wall Squats,Isometric Wall Sit,Legs,Quadriceps,,Bodyweight,Sitting against a wall with the knees at a 90-degree angle to build endurance and strength in the quads and glutes.,"1. Stand with your back against a wall, 2. Slide down into a squat position until your knees are bent at 90 degrees, 3. Hold the position for a set time, 4. Slowly rise back up, 5. Repeat."
111,Back Extension,Hyperextensions,Bodyweight Back Extensions,Lower Back,Glutes,Hamstrings,Bodyweight,A back extension exercise performed on a bench to target the lower back muscles (erector spinae) and glutes for improved posterior chain strength.,"1. Position yourself face down on a back extension bench, 2. Cross your arms over your chest or place your hands behind your head, 3. Lower your upper body toward the ground, 4. Raise your body back to the starting position, 5. Repeat."
112,Superman,Prone Back Extensions,Floor Supermans,Lower Back,Glutes,,Bodyweight,"A bodyweight exercise where you lie face down and lift both arms and legs off the ground, engaging the back, glutes, and hamstrings.","1. Lie face down on the floor with your arms extended in front of you, 2. Lift your arms and legs off the ground simultaneously, 3. Hold at the top for a moment, 4. Lower back down, 5. Repeat."
113,Sissy Squat,Kneeling Back Squats,,Quadriceps,,,Bodyweight,"A deep knee-dominant squat variation where the torso stays upright while the knees travel forward, emphasizing the quadriceps.","1. Stand with your feet shoulder-width apart and knees slightly bent, 2. Raise your heels off the ground, 3. Slowly lower your body by leaning back while keeping your knees extended, 4. Push through your knees to return to standing, 5. Repeat."
114,Handstand Push Up,,,Shoulders,Triceps,,Bodyweight,Upside-down push-ups building strong shoulders and arms.,"1. Kick into a handstand position against a wall, 2. Lower your body until your head almost touches the ground, 3. Push yourself back up to the starting position, 4. Repeat."
115,Leg Stance (Single leg),One Leg Balance,Single Leg Stand,,,,Bodyweight,Standing on one leg to train balance and stability.,"1. Stand on one leg, focusing on balance and stability, 2. Engage your core and maintain your posture, 3. Hold for a set time, 4. Switch legs, 5. Repeat."
116,Leg Stance (Single leg/Eyes Closed),Blind Balance Drill,Eyes Closed One Leg Stand,,,,Bodyweight,Standing on one leg with eyes closed to challenge balance even more.,"1. Perform the single-leg stance, but with your eyes closed for added difficulty, 2. Focus on maintaining balance, 3. Hold for a set time, 4. Switch legs, 5. Repeat."
117,Leg Stance (Knee up),High Knee Stand,Single Leg Hold with Raised Knee,,,,Bodyweight,Balancing on one leg while keeping the other knee lifted.,"1. Stand on one leg with your other leg lifted at a 90-degree angle, 2. Focus on balance and stability, 3. Hold for a set time, 4. Switch legs, 5. Repeat."
118,Leg Stance (Knee up/Eyes Closed),Eyes Closed High Knee Hold,Blind Knee Up Balance,,,,Bodyweight,Balancing with one knee up and eyes closed to make it harder.,"1. Perform the knee-up stance while keeping your eyes closed for added difficulty, 2. Focus on balance, 3. Hold for a set time, 4. Switch legs, 5. Repeat."
119,Toe Touch (Single Leg),Single Leg RDL Touch,Balance Toe Reach,,,,Bodyweight,Balancing on one leg while reaching down to touch the floor.,"1. Stand on one leg and reach down with the opposite hand to touch your toes, 2. Focus on keeping your hips level and engaging your core, 3. Return to standing, 4. Switch legs, 5. Repeat."
120,Tandem Walk,Straight Line Walk,,,,,Bodyweight,Walking in a straight line heel-to-toe to practice coordination and balance.,"1. Walk with one foot directly in front of the other, focusing on maintaining balance, 2. Continue walking in a straight line, 3. Repeat."
121,Heel-to-Toe Walk,Balance Line Walk,,,,,Bodyweight,A walking drill placing the heel of one foot directly in front of the toes of the other foot.,"1. Walk by placing the heel of one foot directly in front of the toes of the other, 2. Maintain balance and control, 3. Repeat."
122,Tandem Stance Hold,Heel-to-Toe Balance Hold,,,,,Bodyweight,Standing heel-to-toe and holding the position to practice balance.,"1. Stand in a tandem position (one foot in front of the other), 2. Hold this position for a set amount of time, 3. Switch legs, 4. Repeat."
123,World's Greatest Stretch,Lunge with Rotation,Spiderman Stretch,,,,Bodyweight,"A full-body stretch focusing on the hips, hamstrings, and thoracic spine.","1. Start in a standing position, 2. Step one leg forward into a lunge, 3. Lower your hips to the floor, 4. Reach one arm overhead and twist your torso toward the bent leg, 5. Hold the stretch, 6. Repeat on the other side."
124,Cat-Cow,Spinal Flexion and Extension,Cat-Camel,,,,Bodyweight,A gentle spinal movement moving between arching and rounding the back.,"1. Start in a tabletop position with hands under shoulders and knees under hips, 2. Inhale and drop your belly toward the floor, lifting your chest and tailbone (Cow), 3. Exhale and round your spine, tucking your chin to your chest (Cat), 4. Repeat for several breaths."
125,Inchworm to Cobra,,,,,,Bodyweight,"Walking the hands out into a plank, then flowing into a chest-opening stretch.","1. Start standing tall, 2. Hinge at your hips and walk your hands forward to a plank position, 3. Lower your body to the floor into a cobra stretch, 4. Press your chest upward, 5. Reverse the movement to walk your hands back to your feet, 6. Stand up."
126,Downward Dog,Down Dog,,,,,Bodyweight,"A yoga pose stretching the hamstrings, calves, and shoulders.","1. Start on your hands and knees, 2. Lift your hips toward the ceiling, forming an inverted V, 3. Keep your hands shoulder-width apart and feet hip-width apart, 4. Press your heels toward the floor and hold the position, 5. Breathe deeply."
127,Upward Dog,,,,,,Bodyweight,A yoga pose lifting the chest while keeping the hips close to the ground.,"1. Lie flat on your stomach, 2. Place your hands beside your chest, 3. Push through your hands to lift your chest off the ground and extend your legs, 4. Look slightly upward and hold, 5. Return to the floor."
